source,role_search,title,company,experience,salary,salary_min,salary_max,salary_avg,location,skills_raw,description,posted_date,company_rating,job_url,scraped_at,exp_years,salary_tier,role,level,city,work_mode,skills,skill_count,has_salary
Naukri,machine learning engineer,Machine Learning Engineer,Valuelabs,3-7 Yrs,,,,,Hyderabad,Pytorch | Tensorflow | Xgboost | Artificial Intelligence | Natural Language Processing | Machine Learning | Deep Learning | Scikit-Learn,,1 day ago,3.4,https://www.naukri.com/job-listings-machine-learning-engineer-valuelabs-hyderabad-3-to-7-years-030626034363,2026-06-04T15:57:48.721715,3.0,Not Disclosed,ML Engineer,Mid-Level,Hyderabad,Onsite,"['scikit-learn', 'tensorflow', 'pytorch', 'machine learning', 'deep learning', 'nlp']",6,0
Naukri,machine learning engineer,Machine Learning Engineer-Digital Twin,Capgemini,2-5 Yrs,,,,,Chennai,Machine Learning | Tensorflow | Generative Ai | Use Cases | Feature Engineering | Ai | Simulation Tools | Forecasting,,1 day ago,3.6,https://www.naukri.com/job-listings-machine-learning-engineer-digital-twin-capgemini-technology-services-india-limited-chennai-2-to-5-years-020626924821,2026-06-04T15:57:48.722103,2.0,Not Disclosed,ML Engineer,Fresher/Junior,Chennai,Onsite,"['tensorflow', 'machine learning']",2,0
Naukri,machine learning engineer,Artificial Intelligence Engineer & Machine Learning Engineer,Wappnet Systems,3-8 Yrs,,,,,Ahmedabad,Automation | Manager Quality Assurance | Prototype | GCP | Analytical | Machine learning | Outsourcing | SQL,,1 day ago,4.2,https://www.naukri.com/job-listings-artificial-intelligence-engineer-machine-learning-engineer-wappnet-systems-ahmedabad-3-to-8-years-030626502500,2026-06-04T15:57:48.722493,3.0,Not Disclosed,ML Engineer,Mid-Level,Other,Onsite,"['sql', 'gcp', 'machine learning']",3,0
Naukri,machine learning engineer,Machine Learning Engineer(Computer Vision),Sarvayana Sansar Industries,2-7 Yrs,,,,,Hybrid - Bengaluru,YOLO v5 v7 v8 | Computer Vision | Tensorflow | Label Studio | Horovod | PyTorch DDP | X3D | AUROC,,Few hours ago,,https://www.naukri.com/job-listings-machine-learning-engineer-computer-vision-sarvayana-sansar-industries-bengaluru-2-to-7-years-040626010535,2026-06-04T15:57:48.722896,2.0,Not Disclosed,ML Engineer,Fresher/Junior,Bangalore,Hybrid,"['tensorflow', 'pytorch']",2,0
Naukri,machine learning engineer,Machine Learning Engineer ( RAG & Generative AI),Experis,5-10 Yrs,,,,,"Hyderabad, Pune, Bengaluru",LLM | SQL | Vector Database | RAG | Python | Retrieval | Azure | Generative AI,,Few hours ago,,https://www.naukri.com/job-listings-machine-learning-engineer-rag-generative-ai-experis-hyderabad-pune-bengaluru-5-to-10-years-040626018929,2026-06-04T15:57:48.723263,5.0,Not Disclosed,ML Engineer,Mid-Level,Bangalore,Onsite,"['python', 'sql', 'azure']",3,0
Naukri,machine learning engineer,Principal Machine Learning Engineer,Amgen Inc,10-15 Yrs,,,,,Hyderabad,compliance | python | github | ai | llm | machine learning | docker | ai engineer,,1 day ago,2.8,https://www.naukri.com/job-listings-principal-machine-learning-engineer-amgen-inc-hyderabad-10-to-15-years-030626914556,2026-06-04T15:57:48.723650,10.0,Not Disclosed,ML Engineer,Senior,Hyderabad,Onsite,"['python', 'machine learning', 'docker']",3,0
Naukri,machine learning engineer,Machine Learning Engineer,Wipro,6-10 Yrs,,,,,Bengaluru,Artificial Intelligence | Machine Learning | Python | Data Engineering | Aiml | Ci/Cd | Machine Learning Engineer | Al,,1 day ago,,https://www.naukri.com/job-listings-machine-learning-engineer-naukri-e-hire-campaign-bengaluru-6-to-10-years-030626019643,2026-06-04T15:57:48.724045,6.0,Not Disclosed,ML Engineer,Senior,Bangalore,Onsite,"['python', 'machine learning']",2,0
Naukri,machine learning engineer,"Machine Learning Engineer,AIML Engineer,Data Scientist,MI Engineer",Burgeon IT Services,7-12 Yrs,,,,,"Hybrid - Hyderabad, Chennai, Bengaluru",LLMs | Machine Learning | Deep Learning | Large Language Model | Python | Tensorflow | Pyspark | Cnn,,1 week ago,,https://www.naukri.com/job-listings-machine-learning-engineer-aiml-engineer-data-scientist-mi-engineer-burgeon-it-services-hyderabad-chennai-bengaluru-7-to-12-years-260526017004,2026-06-04T15:57:48.724441,7.0,Not Disclosed,ML Engineer,Senior,Bangalore,Hybrid,"['python', 'tensorflow', 'pyspark', 'machine learning', 'deep learning']",5,0
Naukri,machine learning engineer,Artificial Intelligence and Machine Learning Engineer (R&D),Litmus7 Systems Consulting,2-6 Yrs,,,,,Thiruvananthapuram,Artificial Intelligence | Machine Learning | Cnn | Rnn | Large Language Model | Natural Language Processing | Neural Networks | Reinforcement Learning,,1 day ago,3.6,https://www.naukri.com/job-listings-artificial-intelligence-and-machine-learning-engineer-r-d-litmus7-systems-consulting-thiruvananthapuram-2-to-6-years-030626029306,2026-06-04T15:57:48.724826,2.0,Not Disclosed,ML Engineer,Fresher/Junior,Other,Onsite,"['machine learning', 'nlp']",2,0
Naukri,machine learning engineer,Principal Machine Learning Engineer,Red Hat,2-6 Yrs,,,,,Bengaluru,Machine Learning | Open Source | C | Red Hat | Data Structures | Ai | Pytorch | Design,,5 days ago,4.3,https://www.naukri.com/job-listings-principal-machine-learning-engineer-red-hat-india-pvt-ltd-bengaluru-2-to-6-years-290526921019,2026-06-04T15:57:48.725207,2.0,Not Disclosed,ML Engineer,Senior,Bangalore,Onsite,"['pytorch', 'machine learning']",2,0
Naukri,machine learning engineer,Machine Learning Engineer,Jforce Solutions,3-8 Yrs,,,,,Mumbai,Computer science | Training | Usage | data science | Artificial Intelligence | Machine learning | Deployment | Natural language processing,,2 days ago,2.3,https://www.naukri.com/job-listings-machine-learning-engineer-jforce-solutions-mumbai-3-to-8-years-020626501543,2026-06-04T15:57:48.725589,3.0,Not Disclosed,ML Engineer,Mid-Level,Mumbai,Onsite,"['machine learning', 'nlp']",2,0
Naukri,machine learning engineer,Immediate Opportunity For Machine Learning Engineer,Trigyn Technologies,3-8 Yrs,,,,,Remote,Deep Learning | Cloud Deployment | Artificial Intelligence | Natural Language Processing | Api Integration | Machine Learning | Languages | Intelligence,,6 days ago,3.7,https://www.naukri.com/job-listings-immediate-opportunity-for-machine-learning-engineer-trigyn-technologies-mumbai-all-areas-3-to-8-years-290526007225,2026-06-04T15:57:48.725970,3.0,Not Disclosed,ML Engineer,Mid-Level,Remote,Remote,"['machine learning', 'deep learning', 'nlp', 'api']",4,0
Naukri,machine learning engineer,"Principal Machine Learning Engineer, Document AI Data",Abbyy,10-15 Yrs,,,,,Bengaluru,Training | Automation | Diversity and Inclusion | Machine learning | Technical leadership | Wellness | Technical Lead | Data quality,,1 week ago,2.8,https://www.naukri.com/job-listings-principal-machine-learning-engineer-document-ai-data-abbyy-bengaluru-10-to-15-years-250526502972,2026-06-04T15:57:48.726348,10.0,Not Disclosed,ML Engineer,Senior,Bangalore,Onsite,['machine learning'],1,0
Naukri,machine learning engineer,"Principal Machine Learning Engineer-AgenticAI, GenAi/LLM",Red Hat,5-10 Yrs,,,,,Bengaluru,Llm | Golang | Airflow | Tensorflow | Compliance | Alerting | Feature Engineering | Sre,,5 days ago,4.3,https://www.naukri.com/job-listings-principal-machine-learning-engineer-agenticai-genai-llm-red-hat-india-pvt-ltd-bengaluru-5-to-10-years-290526921020,2026-06-04T15:57:48.726733,5.0,Not Disclosed,ML Engineer,Senior,Bangalore,Onsite,"['tensorflow', 'airflow']",2,0
Naukri,business analyst,Business Analyst,Wipro,4-9 Yrs,,,,,Hyderabad,Business Analytics | Artificial Intelligence | Machine Learning | Python | SQL | Java | R | Business Consulting,,2 days ago,3.6,https://www.naukri.com/job-listings-business-analyst-wipro-hyderabad-4-to-9-years-290426018169,2026-06-04T16:01:31.914811,4.0,Not Disclosed,Business Analyst,Mid-Level,Hyderabad,Onsite,"['python', 'sql', 'machine learning']",3,0
